gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
MLA190106300,dowlp101,CLE,1,value,27,,31,0,0,0,0,0,0,4,,0,1,0,0,0,,,,,1,,,1,,1,19010630,,MIL04,v,MLA,1,0,0,regular,y,
MLA190106300,reidb101,MLA,1,value,27,,43,18,2,1,1,7,7,1,,3,0,1,0,0,,,,,,1,,1,,1,19010630,,MIL04,h,CLE,0,1,0,regular,y,
SLN190107150,mathc102,NY1,1,value,27,,31,0,0,0,0,0,0,4,,4,0,0,0,0,,,,,1,,,1,,1,19010715,,STL05,v,SLN,1,0,0,regular,y,
SLN190107150,sudhw101,SLN,1,value,27,,38,10,0,0,0,5,5,2,,3,0,0,0,2,,,,,,1,,1,,1,19010715,,STL05,h,NY1,0,1,0,regular,y,
CHA190209201,eganw101,DET,1,value,24,,34,8,1,0,0,3,2,2,,0,0,0,0,1,,,,,,1,,1,,1,19020920,,CHI09,v,CHA,0,1,0,regular,y,
CHA190209201,calln101,CHA,1,value,27,,30,0,0,0,0,0,0,2,,2,0,0,0,0,,,,,1,,,1,,1,19020920,,CHI09,h,DET,1,0,0,regular,y,
SLN190309142,amesr101,NY1,1,value,15,,16,0,0,0,0,0,,2,,7,0,0,0,0,,,,,1,,,1,,1,19030914,,STL05,v,SLN,1,0,0,regular,y,
SLN190309142,oneim101,SLN,1,value,15,,24,4,1,0,0,5,,2,,2,0,0,0,2,,,,,,1,,1,,1,19030914,,STL05,h,NY1,0,1,0,regular,y,
CHN190309182,frasc101,PHI,1,value,27,,34,0,0,0,0,0,,5,,4,0,0,0,0,,,,,1,,,1,,1,19030918,,CHI08,v,CHN,1,0,0,regular,y,
CHN190309182,grahp101,CHN,1,value,15,,25,9,,,0,6,,3,,4,1,0,0,,,,,,,1,,1,,,19030918,,CHI08,h,PHI,0,1,0,regular,y,
CHN190309182,currc101,CHN,2,value,12,,15,5,,,0,4,,0,,0,0,0,0,,,,,,,,,,1,,19030918,,CHI08,h,PHI,0,1,0,regular,y,
BOS190405050,waddr101,PHA,1,value,24,,33,10,2,3,0,3,2,0,,6,0,0,0,1,,,,,,1,,1,,1,19040505,,BOS06,v,BOS,0,1,0,regular,y,
BOS190405050,younc102,BOS,1,value,27,,27,0,0,0,0,0,0,0,,8,0,0,0,0,,,,,1,,,1,,1,19040505,,BOS06,h,PHA,1,0,0,regular,y,
CHA190408170,tannj101,BOS,1,value,27,,29,0,0,0,0,0,0,1,,4,1,0,0,1,,,,,1,,,1,,1,19040817,,CHI09,v,CHA,1,0,0,regular,y,
CHA190408170,altrn101,CHA,1,value,9,,,6,,,0,4,4,2,,0,0,0,0,,,,,,,1,,1,,,19040817,,CHI09,h,BOS,0,1,0,regular,y,
CHA190408170,walse101,CHA,2,value,18,,,4,,,0,2,2,5,,4,0,1,0,,,,,,,,,,1,,19040817,,CHI09,h,BOS,0,1,0,regular,y,
CHN190506130,mathc102,NY1,1,value,27,,28,0,0,0,0,0,,0,,2,0,0,0,0,,,,,1,,,1,,1,19050613,,CHI08,v,CHN,1,0,0,regular,y,
CHN190506130,browm102,CHN,1,value,27,,32,6,0,0,0,1,,2,,3,0,0,1,0,,,,,,1,,1,,1,19050613,,CHI08,h,NY1,0,1,0,regular,y,
